seed_id	annotation
fig|391904.5.peg.60	Exoenzymes regulatory protein AepA precursor
fig|391904.5.peg.61	Tryptophanyl-tRNA synthetase (EC 6.1.1.2)
fig|391904.5.peg.62	hypothetical protein
fig|391904.5.peg.63	"Two component transcriptional regulator, LuxR family"
fig|391904.5.peg.64	putative exodeoxyribonuclease V
fig|391904.5.peg.65	Major facilitator superfamily MFS_1
fig|391904.5.peg.66	FIG00820565: hypothetical protein
fig|391904.5.peg.67	Glycogen phosphorylase (EC 2.4.1.1)
fig|391904.5.peg.68	hypothetical protein
fig|391904.5.peg.69	FIG056164: rhomboid family serine protease
fig|391904.5.peg.70	FIG018426: putative septation inhibitor protein
fig|391904.5.peg.71	FIG215594: Membrane spanning protein
fig|391904.5.peg.72	Sortase (surface protein transpeptidase)
fig|391904.5.peg.73	"Anthranilate synthase, amidotransferase component (EC 4.1.3.27) / Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)"
fig|391904.5.peg.74	Serine/threonine-protein kinase PknB (EC 2.7.11.1)
fig|391904.5.peg.75	Serine/threonine-protein kinase PknA (EC 2.7.11.1)
fig|391904.5.peg.76	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)
fig|391904.5.peg.77	Cell division protein FtsW
fig|391904.5.peg.78	Serine/threonine phosphatase PPP (EC 3.1.3.16)
fig|391904.5.peg.79	FHA-domain-containing proteins
fig|391904.5.peg.80	Adenylate cyclase (EC 4.6.1.1)
fig|391904.5.peg.81	hypothetical protein
fig|391904.5.peg.82	Peptidase
fig|391904.5.peg.83	Lysophospholipase L2 (EC 3.1.1.5)
fig|391904.5.peg.84	Permease of the drug/metabolite transporter (DMT) superfamily
fig|391904.5.peg.85	hypothetical protein
fig|391904.5.peg.86	FIG00996524: hypothetical protein
fig|391904.5.peg.87	hypothetical protein
fig|391904.5.peg.88	Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11) / Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)
fig|391904.5.peg.89	5-nitroimidazole antibiotic resistance protein
fig|391904.5.peg.90	hypothetical protein
fig|391904.5.peg.91	DNA-cytosine methyltransferase (EC 2.1.1.37)
fig|391904.5.peg.92	UPF0145 protein YbjQ
fig|391904.5.peg.93	"FIG01964566: Predicted membrane protein, hemolysin III homolog"
fig|391904.5.peg.94	hypothetical protein
fig|391904.5.peg.95	hypothetical protein
fig|391904.5.peg.96	"transcriptional modulator of MazE/toxin, MazF"
fig|391904.5.peg.97	hypothetical protein
fig|391904.5.peg.98	hypothetical protein
fig|391904.5.peg.99	Mobile element protein
fig|391904.5.peg.100	Queuine tRNA-ribosyltransferase (EC 2.4.2.29)
fig|391904.5.peg.101	FIG00672241: Uncharacterized peptidase
fig|391904.5.peg.102	hypothetical protein
fig|391904.5.peg.103	Cation transport ATPase
fig|391904.5.peg.104	hypothetical protein
fig|391904.5.peg.105	"Urea ABC transporter, substrate binding protein UrtA"
fig|391904.5.peg.106	"Urea ABC transporter, permease protein UrtB"
fig|391904.5.peg.107	"Urea ABC transporter, permease protein UrtC"
fig|391904.5.peg.108	"Urea ABC transporter, ATPase protein UrtD"
fig|391904.5.peg.109	"Urea ABC transporter, ATPase protein UrtE"
fig|391904.5.peg.110	HoxN/HupN/NixA family nickel/cobalt transporter
fig|391904.5.peg.111	Urease beta subunit (EC 3.5.1.5) / Urease gamma subunit (EC 3.5.1.5)
fig|391904.5.peg.112	Urease alpha subunit (EC 3.5.1.5)
fig|391904.5.peg.113	Urease accessory protein UreE
fig|391904.5.peg.114	Urease accessory protein UreF
fig|391904.5.peg.115	Urease accessory protein UreG
fig|391904.5.peg.116	Urease accessory protein UreD
fig|391904.5.peg.117	"Ferredoxin--NADP(+) reductase, actinobacterial (eukaryote-like) type (EC 1.18.1.2)"
fig|391904.5.peg.118	Protease HtpX homolog
fig|391904.5.peg.119	Major facilitator superfamily MFS_1
fig|391904.5.peg.120	G:T/U mismatch-specific uracil/thymine DNA-glycosylase
fig|391904.5.peg.121	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
fig|391904.5.peg.122	hypothetical protein
fig|391904.5.peg.123	hypothetical protein
fig|391904.5.peg.124	Adenylosuccinate synthetase (EC 6.3.4.4)
fig|391904.5.peg.125	Chloride channel protein
fig|391904.5.peg.126	CrcB protein
fig|391904.5.peg.127	CrcB protein
fig|391904.5.peg.128	hypothetical protein
fig|391904.5.peg.129	"Sucrose operon repressor ScrR, LacI family"
fig|391904.5.peg.130	Sucrose phosphorylase (EC 2.4.1.7)
fig|391904.5.peg.131	"Predicted sucrose permease, DHA1 family"
fig|391904.5.peg.132	Uncharacterized MFS-type transporter
fig|391904.5.peg.133	Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)
fig|391904.5.peg.134	Transmembrane component BioN of energizing module of biotin ECF transporter
fig|391904.5.peg.135	ATPase component BioM of energizing module of biotin ECF transporter
fig|391904.5.peg.136	Substrate-specific component BioY of biotin ECF transporter
fig|391904.5.peg.137	hypothetical protein
fig|391904.5.peg.138	Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)
fig|391904.5.peg.139	"Broad specificity exo-alpha-glucosidase, GH13"
fig|391904.5.peg.140	"Maltodextrin utilization transcriptional regulator MalR6, LacI family"
fig|391904.5.peg.141	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)
fig|391904.5.peg.142	hypothetical protein
fig|391904.5.peg.143	hypothetical protein
fig|391904.5.peg.144	Alkaline phosphatase (EC 3.1.3.1)
fig|391904.5.peg.145	Chaperone protein DnaK
fig|391904.5.peg.146	Heat shock protein GrpE
fig|391904.5.peg.147	Chaperone protein DnaJ
fig|391904.5.peg.148	"HspR, transcriptional repressor of DnaK operon"
fig|391904.5.peg.149	Xanthine permease
fig|391904.5.peg.150	Long-chain-fatty-acid--luciferin-component ligase (EC 6.2.1.19)
fig|391904.5.peg.151	Acyl-CoA reductase (EC 1.2.1.50)
fig|391904.5.peg.152	3-oxoacyl-[acyl-carrier protein] reductase
fig|391904.5.peg.153	Putative hydrolase
fig|391904.5.peg.154	DedA protein
fig|391904.5.peg.155	COG family: septum formation inhibitor-activating ATPase
fig|391904.5.peg.156	hypothetical protein
fig|391904.5.peg.157	Flp pilus assembly protein TadC
fig|391904.5.peg.158	hypothetical protein
fig|391904.5.peg.159	hypothetical protein
fig|391904.5.peg.160	hypothetical protein
fig|391904.5.peg.161	"Transcriptional regulator, AcrR family"
fig|391904.5.peg.162	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)
fig|391904.5.peg.163	Recombination protein RecR
fig|391904.5.peg.164	"Sortase A, LPXTG specific"
fig|391904.5.peg.165	Aspartokinase (EC 2.7.2.4)
fig|391904.5.peg.166	Aspartokinase (EC 2.7.2.4)
fig|391904.5.peg.167	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
fig|391904.5.peg.168	FIG00672068: hypothetical protein
fig|391904.5.peg.169	phosphohydrolase
fig|391904.5.peg.170	2-isopropylmalate synthase (EC 2.3.3.13)
fig|391904.5.peg.171	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)
fig|391904.5.peg.172	"Phosphoesterase, PA-phosphatase related"
fig|391904.5.peg.173	hypothetical protein
fig|391904.5.peg.174	DNA topoisomerase I (EC 5.99.1.2)
fig|391904.5.peg.175	Thymidylate kinase (EC 2.7.4.9)
fig|391904.5.peg.176	DNA polymerase III delta prime subunit (EC 2.7.7.7)
fig|391904.5.peg.177	"Transcriptional regulator, LacI family"
fig|391904.5.peg.178	"Phosphotransferase system, phosphocarrier protein HPr"
fig|391904.5.peg.179	hypothetical protein
fig|391904.5.peg.180	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)
fig|391904.5.peg.181	Phospholipid-binding protein
fig|391904.5.peg.182	Putative dipeptidase
fig|391904.5.peg.183	Formate--tetrahydrofolate ligase (EC 6.3.4.3)
fig|391904.5.peg.184	hypothetical protein
fig|391904.5.peg.185	narrowly conserved hypothetical membrane protein
fig|391904.5.peg.186	Transcriptional regulator
fig|391904.5.peg.187	"ABC transporter, permease protein"
fig|391904.5.peg.188	"Hypothetical, related to broad specificity phosphatases COG0406"
fig|391904.5.peg.189	hypothetical protein
fig|391904.5.peg.190	Aldose 1-epimerase
fig|391904.5.peg.191	hypothetical protein
fig|391904.5.peg.192	Abi-like
fig|391904.5.peg.193	Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)
fig|391904.5.peg.194	Membrane protein involved in colicin uptake
fig|391904.5.peg.195	hypothetical protein
fig|391904.5.peg.196	hypothetical protein
fig|391904.5.peg.197	hypothetical protein
fig|391904.5.peg.198	hypothetical protein
fig|391904.5.peg.199	High-affinity Fe2+/Pb2+ permease precursor
fig|391904.5.peg.200	Periplasmic protein p19 involved in high-affinity Fe2+ transport
fig|391904.5.peg.201	"Fe2+ ABC transporter, substrate binding protein"
fig|391904.5.peg.202	"Fe2+ ABC transporter, permease protein 1"
fig|391904.5.peg.203	"Fe2+ ABC transporter, permease protein 2"
fig|391904.5.peg.204	"ABC-type antimicrobial peptide transport system, ATPase component"
fig|391904.5.peg.205	hypothetical protein
fig|391904.5.peg.206	"Transcriptional regulator, AcrR family"
fig|391904.5.peg.207	hypothetical protein
fig|391904.5.peg.208	Phage infection protein
fig|391904.5.peg.209	hypothetical protein
fig|391904.5.peg.210	"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
fig|391904.5.peg.211	"6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type"
fig|391904.5.peg.212	"OpcA, an allosteric effector of glucose-6-phosphate dehydrogenase, actinobacterial"
fig|391904.5.peg.213	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)
fig|391904.5.peg.214	hypothetical protein
fig|391904.5.peg.215	hypothetical protein
fig|391904.5.peg.216	hypothetical protein
fig|391904.5.peg.217	Major facilitator superfamily MFS_1
fig|391904.5.peg.218	hypothetical protein
fig|391904.5.peg.219	hypothetical protein
fig|391904.5.peg.220	hypothetical protein
fig|391904.5.peg.221	Dipeptidase
fig|391904.5.peg.222	Glycosyltransferase
fig|391904.5.peg.223	"Transcriptional regulator, AcrR family"
fig|391904.5.peg.224	Signal recognition particle receptor FtsY
fig|391904.5.peg.225	Ammonium transporter
fig|391904.5.peg.226	Nitrogen regulatory protein P-II
fig|391904.5.peg.227	[Protein-PII] uridylyltransferase (EC 2.7.7.59) / [Protein-PII]-UMP uridylyl-removing enzyme
fig|391904.5.peg.228	MATE efflux family protein
fig|391904.5.peg.229	Replicative DNA helicase (DnaB) (EC 3.6.4.12)
fig|391904.5.peg.230	proposed amino acid ligase found clustered with an amidotransferase
fig|391904.5.peg.231	Putative amidotransferase similar to cobyric acid synthase
fig|391904.5.peg.232	hypothetical protein
fig|391904.5.peg.233	Uncharacterized ABC1 family protein Bbr_0249
fig|391904.5.peg.234	"Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC"
fig|391904.5.peg.235	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)
fig|391904.5.peg.236	SSU ribosomal protein S6p
fig|391904.5.peg.237	Single-stranded DNA-binding protein
fig|391904.5.peg.238	"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent"
fig|391904.5.peg.239	LSU ribosomal protein L9p
fig|391904.5.peg.240	Transposase and inactivated derivatives
fig|391904.5.peg.241	hypothetical protein
fig|391904.5.peg.242	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.243	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.244	hypothetical protein
fig|391904.5.peg.245	Major facilitator superfamily MFS_1
fig|391904.5.peg.246	Mobile element protein
fig|391904.5.peg.247	"Predicted transporter of Fuc(a1-6)GlcNAc-peptide, Glucose Transporter (GT) Family"
fig|391904.5.peg.248	"Exo-alpha-L-(1-6)-fucosidase, GH29"
fig|391904.5.peg.249	Glycerol uptake facilitator protein
fig|391904.5.peg.250	"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"
fig|391904.5.peg.251	Repressor CsoR of the copZA operon
fig|391904.5.peg.252	DNA recombination protein RmuC
fig|391904.5.peg.253	hypothetical protein
fig|391904.5.peg.254	rRNA methylases
fig|391904.5.peg.255	Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) / Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)
fig|391904.5.peg.256	Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7) / Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6)
fig|391904.5.peg.257	Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7) / Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6)
fig|391904.5.peg.258	Putative acetyltransferase
fig|391904.5.peg.259	Protein often found in Actinomycetes clustered with signal peptidase and/or RNaseHII
fig|391904.5.peg.260	hypothetical protein
fig|391904.5.peg.261	Protoporphyrinogen oxidase
fig|391904.5.peg.262	Transcription termination factor Rho
fig|391904.5.peg.263	"Predicted transcriptional regulator of b(1-3)-linked galactooligosaccharides utilization, LacI family"
fig|391904.5.peg.264	"b(1-3)-linked GOS transporter, GPH:Cation Symporter Family"
fig|391904.5.peg.265	"Exo-beta-(1-3)-galactosidase, GH2"
fig|391904.5.peg.266	hypothetical protein
fig|391904.5.peg.267	Transposase
fig|391904.5.peg.268	"Transposase, mutator type"
fig|391904.5.peg.269	hypothetical protein
fig|391904.5.peg.270	hypothetical protein
fig|391904.5.peg.271	Tyrosine recombinase XerD
fig|391904.5.peg.272	hypothetical protein
fig|391904.5.peg.273	Chorismate mutase I (EC 5.4.99.5)
fig|391904.5.peg.274	hypothetical protein
fig|391904.5.peg.275	Valyl-tRNA synthetase (EC 6.1.1.9)
fig|391904.5.peg.276	"ABC transporter, substrate-binding protein"
fig|391904.5.peg.277	Endonuclease III (EC 4.2.99.18)
fig|391904.5.peg.278	hypothetical protein
fig|391904.5.peg.279	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain
fig|391904.5.peg.280	hypothetical protein
fig|391904.5.peg.281	Probable manganese efflux pump MntP
fig|391904.5.peg.282	Inorganic pyrophosphatase (EC 3.6.1.1)
fig|391904.5.peg.283	Alpha-amylase (EC 3.2.1.1)
fig|391904.5.peg.284	hypothetical protein
fig|391904.5.peg.285	hypothetical protein
fig|391904.5.peg.286	hypothetical protein
fig|391904.5.peg.287	hypothetical protein
fig|391904.5.peg.288	hypothetical protein
fig|391904.5.peg.289	hypothetical protein
fig|391904.5.peg.290	hypothetical protein
fig|391904.5.peg.291	hypothetical protein
fig|391904.5.peg.292	Phage integrase
fig|391904.5.peg.293	hypothetical protein
fig|391904.5.peg.294	hypothetical protein
fig|391904.5.peg.295	plasmid transfer protein
fig|391904.5.peg.296	hypothetical protein
fig|391904.5.peg.297	hypothetical protein
fig|391904.5.peg.298	hypothetical protein
fig|391904.5.peg.299	hypothetical protein
fig|391904.5.peg.300	hypothetical protein
fig|391904.5.peg.301	Homoserine O-succinyltransferase (EC 2.3.1.46)
fig|391904.5.peg.302	ATP synthase F0 sector subunit a (EC 3.6.3.14)
fig|391904.5.peg.303	ATP synthase F0 sector subunit c (EC 3.6.3.14)
fig|391904.5.peg.304	ATP synthase F0 sector subunit b (EC 3.6.3.14)
fig|391904.5.peg.305	ATP synthase delta chain (EC 3.6.3.14)
fig|391904.5.peg.306	ATP synthase alpha chain (EC 3.6.3.14)
fig|391904.5.peg.307	ATP synthase gamma chain (EC 3.6.3.14)
fig|391904.5.peg.308	ATP synthase beta chain (EC 3.6.3.14)
fig|391904.5.peg.309	ATP synthase epsilon chain (EC 3.6.3.14)
fig|391904.5.peg.310	FIG00996186: hypothetical protein
fig|391904.5.peg.311	possible secreted peptidyl-prolyl cis-trans isomerase protein
fig|391904.5.peg.312	hypothetical protein
fig|391904.5.peg.313	hypothetical protein
fig|391904.5.peg.314	FIG000875: Thioredoxin domain-containing protein EC-YbbN
fig|391904.5.peg.315	narrowly conserved hypothetical protein
fig|391904.5.peg.316	RidA/YER057c/UK114 superfamily protein
fig|391904.5.peg.317	1-acyl-sn-glycerol-3-phosphate acyltransferase
fig|391904.5.peg.318	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)
fig|391904.5.peg.319	D-alanine--D-alanine ligase (EC 6.3.2.4)
fig|391904.5.peg.320	"ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)"
fig|391904.5.peg.321	"ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)"
fig|391904.5.peg.322	"ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)"
fig|391904.5.peg.323	"ABC transporter, ATP-binding protein (cluster 1, maltose/g3p/polyamine/iron); ABC transporter, ATP-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)"
fig|391904.5.peg.324	hypothetical protein
fig|391904.5.peg.325	hypothetical protein
fig|391904.5.peg.326	Aspartate ammonia-lyase (EC 4.3.1.1)
fig|391904.5.peg.327	hypothetical protein
fig|391904.5.peg.328	hypothetical protein
fig|391904.5.peg.329	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)
fig|391904.5.peg.330	hypothetical protein
fig|391904.5.peg.331	hypothetical protein
fig|391904.5.peg.332	hypothetical protein
fig|391904.5.peg.333	hypothetical protein
fig|391904.5.peg.334	"Transcriptional regulator, MerR family"
fig|391904.5.peg.335	hypothetical protein
fig|391904.5.peg.336	probable PfkB family carbohydrate (sugar) kinase
fig|391904.5.peg.337	"LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-dependent"
fig|391904.5.peg.338	ATP-dependent DNA helicase RecG (EC 3.6.4.12)
fig|391904.5.peg.339	"Predicted transcriptional regulator for fucosyllactose utilization, LacI family"
fig|391904.5.peg.340	"2&#39;FL, 3FL, LDFT, LNFP I ABC transporter, permease component 1"
fig|391904.5.peg.341	"2&#39;FL, 3FL, LDFT, LNFP I ABC transporter, permease component 2"
fig|391904.5.peg.342	"2&#39;FL, 3FL ABC transporter, substrate-binding protein"
fig|391904.5.peg.343	L-fuconate dehydratase (EC 4.2.1.68)
fig|391904.5.peg.344	Permease of the major facilitator superfamily
fig|391904.5.peg.345	hypothetical protein
fig|391904.5.peg.346	hypothetical protein
fig|391904.5.peg.347	Putative DNA methyltransferase
fig|391904.5.peg.348	Mobile element protein
fig|391904.5.peg.349	16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)
fig|391904.5.peg.350	tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228)
fig|391904.5.peg.351	"peptidase, U32 family large subunit [C1]"
fig|391904.5.peg.352	FIG00003370: Multicopper polyphenol oxidase
fig|391904.5.peg.353	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)
fig|391904.5.peg.354	Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)
fig|391904.5.peg.355	Cell division initiation protein DivIVA
fig|391904.5.peg.356	Aminopeptidase C (EC 3.4.22.40)
fig|391904.5.peg.357	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)
fig|391904.5.peg.358	FIG00424813: hypothetical protein
fig|391904.5.peg.359	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)
fig|391904.5.peg.360	5&#39;-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)
fig|391904.5.peg.361	transmembrane transport protein possibly for shikimate
fig|391904.5.peg.362	Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)
fig|391904.5.peg.363	Phosphate regulon transcriptional regulatory protein PhoB (SphR)
fig|391904.5.peg.364	"Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)"
fig|391904.5.peg.365	Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
fig|391904.5.peg.366	Phosphate transport system permease protein PstA (TC 3.A.1.7.1)
fig|391904.5.peg.367	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
fig|391904.5.peg.368	LemA protein
fig|391904.5.peg.369	hypothetical protein
fig|391904.5.peg.370	putative membrane protein
fig|391904.5.peg.371	hypothetical protein
fig|391904.5.peg.372	hypothetical protein
fig|391904.5.peg.373	hypothetical protein
fig|391904.5.peg.374	possible oxidoreductase of the aldo/keto reductase family
fig|391904.5.peg.375	Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)
fig|391904.5.peg.376	"Predicted transcriptional regulator of globotriosylceramide utilization, LacI family"
fig|391904.5.peg.377	"Globotriose ABC transporter, substrate-binding protein"
fig|391904.5.peg.378	"Globotriose ABC transporter, permease protein 1"
fig|391904.5.peg.379	"Globotriose ABC transporter, permease protein 2"
fig|391904.5.peg.380	"Predicted lyase in locus with globotriose ABC transporter, PL27"
fig|391904.5.peg.381	Toxin HigB / Protein kinase domain of HipA
fig|391904.5.peg.382	16S rRNA processing protein RimM
fig|391904.5.peg.383	KH domain RNA binding protein YlqC
fig|391904.5.peg.384	SSU ribosomal protein S16p
fig|391904.5.peg.385	hypothetical protein
fig|391904.5.peg.386	Aminodeoxychorismate lyase (EC 4.1.3.38)
fig|391904.5.peg.387	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)"
fig|391904.5.peg.388	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)
fig|391904.5.peg.389	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)
fig|391904.5.peg.390	"GTP cyclohydrolase II (EC 3.5.4.25) / 3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)"
fig|391904.5.peg.391	"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)"
fig|391904.5.peg.392	hypothetical protein
fig|391904.5.peg.393	Signal recognition particle protein Ffh
fig|391904.5.peg.394	Cobalt-zinc-cadmium resistance protein
fig|391904.5.peg.395	Cysteinyl-tRNA synthetase (EC 6.1.1.16)
fig|391904.5.peg.396	"Glutamine amidotransferase, class I"
fig|391904.5.peg.397	ATPase components of ABC transporters with duplicated ATPase domains
fig|391904.5.peg.398	VapB protein (antitoxin to VapC)
fig|391904.5.peg.399	Acetolactate synthase small subunit (EC 2.2.1.6)
fig|391904.5.peg.400	Acetolactate synthase large subunit (EC 2.2.1.6)
fig|391904.5.peg.401	Ribonuclease III (EC 3.1.26.3)
fig|391904.5.peg.402	"LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-dependent"
fig|391904.5.peg.403	"FIG01269488: protein, clustered with ribosomal protein L32p"
fig|391904.5.peg.404	FIG00814129: Possible chaperone
fig|391904.5.peg.405	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)
fig|391904.5.peg.406	hypothetical protein
fig|391904.5.peg.407	Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)
fig|391904.5.peg.408	"Transcriptional regulator, MerR family"
fig|391904.5.peg.409	Permeases of the major facilitator superfamily
fig|391904.5.peg.410	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)
fig|391904.5.peg.411	FIG00425848: hypothetical protein
fig|391904.5.peg.412	Ribonuclease PH (EC 2.7.7.56)
fig|391904.5.peg.413	"Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)"
fig|391904.5.peg.414	hypothetical protein
fig|391904.5.peg.415	hypothetical protein
fig|391904.5.peg.416	hypothetical protein
fig|391904.5.peg.417	Transporter
fig|391904.5.peg.418	hypothetical protein
fig|391904.5.peg.419	Glucose-6-phosphate isomerase (EC 5.3.1.9)
