locus_tag	seed_id
Blon_2044	fig|391904.5.peg.2062
Blon_1658	-
Blon_1313	-
Blon_0614	fig|391904.5.peg.598
Blon_0852	fig|391904.5.peg.853
Blon_1788	-
Blon_0239	fig|391904.5.peg.241
Blon_0911	fig|391904.5.peg.915
Blon_0380	-
Blon_0251	fig|391904.5.peg.250
Blon_2027	fig|391904.5.peg.2041
Blon_1438	fig|391904.5.peg.1451
Blon_1905	fig|391904.5.peg.1912
Blon_1470	-
Blon_1629	fig|391904.5.peg.1642
Blon_0859	-
Blon_0133	fig|391904.5.peg.135
Blon_1806	fig|391904.5.peg.1808
Blon_0170	fig|391904.5.peg.170
Blon_1207	fig|391904.5.peg.1209
Blon_0504	fig|391904.5.peg.496
Blon_0936	fig|391904.5.peg.940
Blon_1766	fig|391904.5.peg.1770
Blon_1893	fig|391904.5.peg.1898
Blon_1332	fig|391904.5.peg.1341
Blon_0489	-
Blon_0036	fig|391904.5.peg.34
Blon_0593	fig|391904.5.peg.579
Blon_0811	-
Blon_1287	fig|391904.5.peg.1299
Blon_1995	fig|391904.5.peg.2008
Blon_0687	fig|391904.5.peg.679
Blon_2185	-
Blon_0581	fig|391904.5.peg.566
Blon_1230	fig|391904.5.peg.1234
Blon_1771	fig|391904.5.peg.1775
Blon_0037	fig|391904.5.peg.35
Blon_0565	fig|391904.5.peg.549
Blon_0422	fig|391904.5.peg.424
Blon_1240	fig|391904.5.peg.1247
Blon_0847	fig|391904.5.peg.848
Blon_1522	fig|391904.5.peg.1539
Blon_2144	fig|391904.5.peg.2156
Blon_0524	fig|391904.5.peg.511
Blon_1414	fig|391904.5.peg.1428
Blon_0917	fig|391904.5.peg.921
Blon_0545	fig|391904.5.peg.530
Blon_0300	fig|391904.5.peg.299
Blon_0227	fig|391904.5.peg.229
Blon_2395	fig|391904.5.peg.2410
Blon_1649	-
Blon_2220	fig|391904.5.peg.2229
Blon_1568	fig|391904.5.peg.1583
Blon_1715	fig|391904.5.peg.1723
Blon_0605	fig|391904.5.peg.589
Blon_0762	fig|391904.5.peg.758
Blon_1802	fig|391904.5.peg.1805
Blon_1345	fig|391904.5.peg.1355
Blon_1072	-
Blon_1184	fig|391904.5.peg.1181
Blon_2399	fig|391904.5.peg.2415
Blon_1336	fig|391904.5.peg.1345
Blon_1080	fig|391904.5.peg.1075
Blon_1168	-
Blon_2206	fig|391904.5.peg.2215
Blon_0328	fig|391904.5.peg.327
Blon_1479	fig|391904.5.peg.1494
Blon_1297	fig|391904.5.peg.1305
Blon_0881	fig|391904.5.peg.884
Blon_0907	fig|391904.5.peg.911
Blon_1726	fig|391904.5.peg.1735
Blon_0656	fig|391904.5.peg.644
Blon_0473	fig|391904.5.peg.472
Blon_1824	fig|391904.5.peg.1830
Blon_2263	fig|391904.5.peg.2272
Blon_1347	fig|391904.5.peg.1357
Blon_2017	fig|391904.5.peg.2031
Blon_1651	-
Blon_1863	fig|391904.5.peg.1867
Blon_2295	fig|391904.5.peg.2305
Blon_1206	fig|391904.5.peg.1208
Blon_2088	-
Blon_2218	fig|391904.5.peg.2227
Blon_0402	fig|391904.5.peg.403
Blon_0657	-
Blon_0697	fig|391904.5.peg.690
Blon_0322	fig|391904.5.peg.321
Blon_0080	fig|391904.5.peg.77
Blon_0406	fig|391904.5.peg.407
Blon_0266	fig|391904.5.peg.263
Blon_1622	fig|391904.5.peg.1636
Blon_0973	fig|391904.5.peg.977
Blon_1251	fig|391904.5.peg.1260
Blon_0707	fig|391904.5.peg.700
Blon_1583	fig|391904.5.peg.1597
Blon_0889	fig|391904.5.peg.892
Blon_0610	fig|391904.5.peg.594
Blon_2430	fig|391904.5.peg.2443
Blon_1829	-
Blon_1998	fig|391904.5.peg.2012
Blon_2471	fig|391904.5.peg.2484
Blon_2329	fig|391904.5.peg.2343
Blon_1478	fig|391904.5.peg.1493
Blon_0570	fig|391904.5.peg.554
Blon_0224	fig|391904.5.peg.226
Blon_1756	fig|391904.5.peg.1760
Blon_2114	fig|391904.5.peg.2126
Blon_1831	fig|391904.5.peg.1837
Blon_1174	fig|391904.5.peg.1170
Blon_2060	fig|391904.5.peg.2077
Blon_1911	fig|391904.5.peg.1919
Blon_0089	fig|391904.5.peg.88
Blon_0367	fig|391904.5.peg.368
Blon_0374	fig|391904.5.peg.376
Blon_1110	fig|391904.5.peg.1106
Blon_0062	fig|391904.5.peg.59
Blon_1526	fig|391904.5.peg.1542
Blon_1992	fig|391904.5.peg.2005
Blon_0527	fig|391904.5.peg.513
Blon_0568	fig|391904.5.peg.552
Blon_1778	fig|391904.5.peg.1782
Blon_2416	fig|391904.5.peg.2430
Blon_1708	fig|391904.5.peg.1716
Blon_2333	fig|391904.5.peg.606
Blon_0373	fig|391904.5.peg.375
Blon_0550	fig|391904.5.peg.535
Blon_2098	-
Blon_0372	fig|391904.5.peg.374
Blon_1350	fig|391904.5.peg.1361
Blon_1872	fig|391904.5.peg.1877
Blon_2195	fig|391904.5.peg.2204
Blon_0706	fig|391904.5.peg.699
Blon_0574	fig|391904.5.peg.558
Blon_1797	-
Blon_0737	fig|391904.5.peg.730
Blon_2411	fig|391904.5.peg.2425
Blon_1935	fig|391904.5.peg.1946
Blon_2157	fig|391904.5.peg.2167
Blon_1416	fig|391904.5.peg.1430
Blon_0195	fig|391904.5.peg.198
Blon_1128	fig|391904.5.peg.1124
Blon_0244	fig|391904.5.peg.244
Blon_0107	fig|391904.5.peg.108
Blon_2336	fig|391904.5.peg.2350
Blon_0183	fig|391904.5.peg.185
Blon_1033	fig|391904.5.peg.1030
Blon_1915	fig|391904.5.peg.1924
Blon_0695	fig|391904.5.peg.688
Blon_0546	fig|391904.5.peg.531
Blon_2468	fig|391904.5.peg.2480
Blon_1073	fig|391904.5.peg.1067
Blon_1052	fig|391904.5.peg.1047
Blon_0713	fig|391904.5.peg.706
Blon_1258	fig|391904.5.peg.1268
Blon_0443	fig|391904.5.peg.445
Blon_1342	fig|391904.5.peg.1352
Blon_1363	fig|391904.5.peg.1374
Blon_1850	fig|391904.5.peg.1856
Blon_1391	-
Blon_1801	-
Blon_0995	fig|391904.5.peg.998
Blon_0537	fig|391904.5.peg.522
Blon_0963	fig|391904.5.peg.967
Blon_1682	fig|391904.5.peg.1691
Blon_0667	fig|391904.5.peg.656
Blon_2076	fig|391904.5.peg.2095
Blon_0226	fig|391904.5.peg.228
Blon_2346	fig|391904.5.peg.2360
Blon_1927	fig|391904.5.peg.1938
Blon_2408	fig|391904.5.peg.2422
Blon_1989	fig|391904.5.peg.2002
Blon_2143	fig|391904.5.peg.2155
Blon_2450	-
Blon_2497	fig|391904.5.peg.2510
Blon_1837	fig|391904.5.peg.1843
Blon_1743	fig|391904.5.peg.1749
Blon_1113	fig|391904.5.peg.1109
Blon_1664	fig|391904.5.peg.1677
Blon_1612	fig|391904.5.peg.1625
Blon_0116	fig|391904.5.peg.117
Blon_2473	fig|391904.5.peg.2486
Blon_2151	fig|391904.5.peg.2163
Blon_2238	fig|391904.5.peg.2247
Blon_1179	fig|391904.5.peg.1175
Blon_0294	-
Blon_0181	fig|391904.5.peg.183
Blon_1513	fig|391904.5.peg.1530
Blon_1288	fig|391904.5.peg.1300
Blon_2290	fig|391904.5.peg.2300
Blon_2362	fig|391904.5.peg.2380
Blon_0589	fig|391904.5.peg.575
Blon_0118	fig|391904.5.peg.119
Blon_1078	fig|391904.5.peg.1073
Blon_0126	fig|391904.5.peg.127
Blon_2080	fig|391904.5.peg.2098
Blon_0977	fig|391904.5.peg.981
Blon_2202	fig|391904.5.peg.2211
Blon_1497	fig|391904.5.peg.1514
Blon_1262	fig|391904.5.peg.1272
Blon_0719	fig|391904.5.peg.712
Blon_0458	fig|391904.5.peg.457
Blon_1123	fig|391904.5.peg.1118
Blon_1381	fig|391904.5.peg.1393
Blon_1706	fig|391904.5.peg.1714
Blon_0238	fig|391904.5.peg.240
Blon_1043	fig|391904.5.peg.1039
Blon_1084	fig|391904.5.peg.1079
Blon_1705	fig|391904.5.peg.1713
Blon_2109	fig|391904.5.peg.2121
Blon_0502	fig|391904.5.peg.495
Blon_1156	fig|391904.5.peg.1152
Blon_1765	fig|391904.5.peg.1769
Blon_0277	fig|391904.5.peg.277
Blon_1013	fig|391904.5.peg.1015
Blon_1468	fig|391904.5.peg.1483
Blon_1049	-
Blon_1293	-
Blon_2311	fig|391904.5.peg.2322
Blon_1836	fig|391904.5.peg.1842
Blon_1587	fig|391904.5.peg.1601
Blon_0716	fig|391904.5.peg.709
Blon_0834	fig|391904.5.peg.834
Blon_1610	fig|391904.5.peg.1623
Blon_2149	fig|391904.5.peg.2161
Blon_0749	fig|391904.5.peg.743
Blon_0806	fig|391904.5.peg.806
Blon_0944	fig|391904.5.peg.948
Blon_1035	fig|391904.5.peg.1031
Blon_1791	fig|391904.5.peg.1794
Blon_1492	fig|391904.5.peg.1510
Blon_0075	fig|391904.5.peg.72
Blon_0346	fig|391904.5.peg.346
Blon_2064	fig|391904.5.peg.2081
Blon_1956	fig|391904.5.peg.1966
Blon_0922	fig|391904.5.peg.926
Blon_2347	fig|391904.5.peg.2361
Blon_0858	fig|391904.5.peg.859
Blon_1869	fig|391904.5.peg.1874
Blon_2387	fig|391904.5.peg.2402
Blon_0833	fig|391904.5.peg.833
Blon_1241	fig|391904.5.peg.1582
Blon_2191	fig|391904.5.peg.2200
Blon_0594	fig|391904.5.peg.580
Blon_0725	fig|391904.5.peg.718
Blon_0336	fig|391904.5.peg.335
Blon_0400	fig|391904.5.peg.401
Blon_1486	fig|391904.5.peg.1503
Blon_1602	fig|391904.5.peg.1616
Blon_2262	fig|391904.5.peg.2271
Blon_1712	fig|391904.5.peg.1720
Blon_1261	fig|391904.5.peg.1271
Blon_0795	fig|391904.5.peg.793
Blon_1789	fig|391904.5.peg.1792
Blon_0584	fig|391904.5.peg.569
Blon_2175	fig|391904.5.peg.2185
Blon_1930	-
Blon_1484	fig|391904.5.peg.1501
Blon_0249	-
Blon_2318	fig|391904.5.peg.2329
Blon_1418	fig|391904.5.peg.1432
Blon_1810	fig|391904.5.peg.1814
Blon_1660	-
Blon_1918	fig|391904.5.peg.1928
Blon_1567	fig|391904.5.peg.1582
Blon_0453	-
Blon_0041	fig|391904.5.peg.39
Blon_1183	fig|391904.5.peg.1180
Blon_0621	fig|391904.5.peg.605
Blon_0329	fig|391904.5.peg.328
Blon_0335	fig|391904.5.peg.334
Blon_2344	fig|391904.5.peg.2358
Blon_0751	fig|391904.5.peg.745
Blon_1338	fig|391904.5.peg.1347
Blon_0578	fig|391904.5.peg.563
Blon_0959	fig|391904.5.peg.963
Blon_1762	fig|391904.5.peg.1767
Blon_2119	fig|391904.5.peg.2130
Blon_1362	fig|391904.5.peg.1373
Blon_2113	fig|391904.5.peg.547
Blon_2432	fig|391904.5.peg.2445
Blon_1037	fig|391904.5.peg.1034
Blon_0250	fig|391904.5.peg.249
Blon_0681	fig|391904.5.peg.672
Blon_0051	fig|391904.5.peg.48
Blon_2304	fig|391904.5.peg.2314
Blon_2184	fig|391904.5.peg.2194
Blon_0140	fig|391904.5.peg.144
Blon_2465	fig|391904.5.peg.2476
Blon_1697	fig|391904.5.peg.1705
Blon_2292	fig|391904.5.peg.2302
Blon_0597	fig|391904.5.peg.583
Blon_2096	fig|391904.5.peg.2109
Blon_0808	fig|391904.5.peg.808
Blon_2070	fig|391904.5.peg.2089
Blon_1152	fig|391904.5.peg.1148
Blon_1248	fig|391904.5.peg.1256
Blon_0845	fig|391904.5.peg.846
Blon_2019	fig|391904.5.peg.2033
Blon_2231	fig|391904.5.peg.2240
Blon_1364	fig|391904.5.peg.1375
Blon_0356	fig|391904.5.peg.356
Blon_1997	fig|391904.5.peg.2010
Blon_0641	fig|391904.5.peg.627
Blon_2193	fig|391904.5.peg.2202
Blon_0625	fig|391904.5.peg.610
Blon_1190	fig|391904.5.peg.1187
Blon_0482	fig|391904.5.peg.480
Blon_1131	fig|391904.5.peg.1127
Blon_2235	fig|391904.5.peg.2244
Blon_1613	fig|391904.5.peg.1626
Blon_0788	fig|391904.5.peg.788
Blon_2236	fig|391904.5.peg.2245
Blon_0190	fig|391904.5.peg.192
Blon_1595	fig|391904.5.peg.1609
Blon_0070	fig|391904.5.peg.67
Blon_1621	fig|391904.5.peg.1635
Blon_2284	fig|391904.5.peg.2294
Blon_1884	fig|391904.5.peg.1889
Blon_1900	fig|391904.5.peg.1905
Blon_1546	fig|391904.5.peg.1561
Blon_1898	fig|391904.5.peg.1903
Blon_1170	fig|391904.5.peg.1166
Blon_1886	fig|391904.5.peg.1891
Blon_1450	fig|391904.5.peg.1464
Blon_0923	fig|391904.5.peg.927
Blon_0929	fig|391904.5.peg.933
Blon_0590	fig|391904.5.peg.576
Blon_0449	fig|391904.5.peg.452
Blon_1431	fig|391904.5.peg.1446
Blon_2054	fig|391904.5.peg.2071
Blon_0398	fig|391904.5.peg.399
Blon_2267	fig|391904.5.peg.2277
Blon_0777	fig|391904.5.peg.776
Blon_0797	fig|391904.5.peg.795
Blon_1723	fig|391904.5.peg.1732
Blon_0024	fig|391904.5.peg.20
Blon_1566	fig|391904.5.peg.1581
Blon_2303	fig|391904.5.peg.2313
Blon_2453	fig|391904.5.peg.2466
Blon_0830	fig|391904.5.peg.830
Blon_0558	fig|391904.5.peg.542
Blon_2167	fig|391904.5.peg.2177
Blon_2162	fig|391904.5.peg.2172
Blon_0925	fig|391904.5.peg.929
Blon_1523	fig|391904.5.peg.1540
Blon_2004	fig|391904.5.peg.2018
Blon_2225	fig|391904.5.peg.2234
Blon_1114	fig|391904.5.peg.1110
Blon_0582	fig|391904.5.peg.567
Blon_1883	fig|391904.5.peg.1888
Blon_0803	fig|391904.5.peg.803
Blon_0991	-
Blon_0748	fig|391904.5.peg.742
Blon_2117	fig|391904.5.peg.2129
Blon_1485	fig|391904.5.peg.1502
Blon_1038	-
Blon_0915	fig|391904.5.peg.919
Blon_0778	fig|391904.5.peg.777
Blon_2445	fig|391904.5.peg.2458
Blon_2404	fig|391904.5.peg.2419
Blon_1443	fig|391904.5.peg.1456
Blon_1825	fig|391904.5.peg.1831
Blon_0327	fig|391904.5.peg.326
Blon_0841	fig|391904.5.peg.842
Blon_2415	fig|391904.5.peg.2429
Blon_2296	fig|391904.5.peg.2306
Blon_1169	fig|391904.5.peg.1165
Blon_1460	fig|391904.5.peg.1473
Blon_2212	fig|391904.5.peg.2221
Blon_1127	fig|391904.5.peg.1123
Blon_0888	fig|391904.5.peg.891
Blon_2211	fig|391904.5.peg.2220
Blon_1627	-
Blon_0730	fig|391904.5.peg.723
Blon_2145	fig|391904.5.peg.2157
Blon_1389	fig|391904.5.peg.1400
Blon_2406	fig|391904.5.peg.2420
Blon_0807	fig|391904.5.peg.807
Blon_1417	fig|391904.5.peg.1431
Blon_1138	fig|391904.5.peg.1135
Blon_2247	fig|391904.5.peg.2255
Blon_1161	fig|391904.5.peg.1157
Blon_2433	fig|391904.5.peg.2446
Blon_1895	fig|391904.5.peg.1900
Blon_2123	fig|391904.5.peg.2135
Blon_0386	fig|391904.5.peg.388
Blon_0483	fig|391904.5.peg.481
Blon_0800	fig|391904.5.peg.799
Blon_2240	-
Blon_1703	fig|391904.5.peg.1711
Blon_1028	-
Blon_1318	fig|391904.5.peg.1327
Blon_0082	fig|391904.5.peg.79
Blon_1917	fig|391904.5.peg.1927
Blon_0886	fig|391904.5.peg.889
Blon_1653	fig|391904.5.peg.1665
Blon_0714	fig|391904.5.peg.707
Blon_1025	fig|391904.5.peg.1025
Blon_0357	fig|391904.5.peg.357
Blon_1433	-
Blon_1343	fig|391904.5.peg.1353
Blon_0142	fig|391904.5.peg.146
Blon_2403	-
Blon_1402	fig|391904.5.peg.1414
Blon_0471	fig|391904.5.peg.470
Blon_1840	fig|391904.5.peg.1846
Blon_2140	fig|391904.5.peg.2152
Blon_0263	fig|391904.5.peg.260
Blon_1993	fig|391904.5.peg.2006
Blon_1979	fig|391904.5.peg.1992
Blon_0002	-
Blon_1563	fig|391904.5.peg.1578
Blon_1792	fig|391904.5.peg.1795
Blon_1994	fig|391904.5.peg.2007
Blon_2127	fig|391904.5.peg.2139
Blon_1693	fig|391904.5.peg.1700
Blon_1392	fig|391904.5.peg.1404
Blon_1537	fig|391904.5.peg.1552
Blon_1865	fig|391904.5.peg.1870
Blon_1472	fig|391904.5.peg.1486
Blon_0211	fig|391904.5.peg.214
Blon_1366	fig|391904.5.peg.1377
Blon_2330	fig|391904.5.peg.2344
Blon_2136	fig|391904.5.peg.2148
Blon_1692	fig|391904.5.peg.1699
Blon_2428	fig|391904.5.peg.2441
Blon_1215	fig|391904.5.peg.1218
Blon_1420	fig|391904.5.peg.1434
Blon_0633	fig|391904.5.peg.618
Blon_1745	fig|391904.5.peg.1751
Blon_2281	fig|391904.5.peg.2291
Blon_1619	fig|391904.5.peg.1632
Blon_0954	fig|391904.5.peg.958
Blon_2315	fig|391904.5.peg.2326
Blon_0214	fig|391904.5.peg.217
Blon_0245	fig|391904.5.peg.245
Blon_1618	fig|391904.5.peg.1631
Blon_2107	fig|391904.5.peg.2119
Blon_1902	fig|391904.5.peg.1908
Blon_1844	fig|391904.5.peg.1850
Blon_2287	fig|391904.5.peg.2297
Blon_0559	-
Blon_0317	fig|391904.5.peg.316
Blon_0409	fig|391904.5.peg.410
Blon_1322	fig|391904.5.peg.1330
Blon_0148	fig|391904.5.peg.152
Blon_0585	fig|391904.5.peg.571
Blon_1283	fig|391904.5.peg.1295
Blon_0021	fig|391904.5.peg.17
Blon_1963	fig|391904.5.peg.1974
Blon_1087	fig|391904.5.peg.1082
Blon_1666	fig|391904.5.peg.1678
Blon_1172	fig|391904.5.peg.1168
Blon_2326	fig|391904.5.peg.2339
Blon_0668	fig|391904.5.peg.657
Blon_1730	fig|391904.5.peg.1739
Blon_0173	fig|391904.5.peg.174
Blon_0946	fig|391904.5.peg.950
Blon_1458	fig|391904.5.peg.1472
Blon_2373	-
Blon_0131	fig|391904.5.peg.133
Blon_2393	fig|391904.5.peg.2408
Blon_1403	fig|391904.5.peg.1415
Blon_1640	fig|391904.5.peg.1654
Blon_0786	fig|391904.5.peg.786
Blon_1628	fig|391904.5.peg.1641
Blon_1680	fig|391904.5.peg.1689
Blon_0003	fig|391904.5.peg.2
Blon_1783	-
Blon_0013	fig|391904.5.peg.11
Blon_0651	fig|391904.5.peg.639
Blon_2067	fig|391904.5.peg.2085
Blon_0030	fig|391904.5.peg.28
Blon_0256	-
Blon_0207	fig|391904.5.peg.210
Blon_1457	fig|391904.5.peg.1471
Blon_1515	fig|391904.5.peg.1532
Blon_1344	fig|391904.5.peg.1354
Blon_0733	fig|391904.5.peg.726
Blon_2467	fig|391904.5.peg.2479
Blon_1686	fig|391904.5.peg.1694
Blon_0487	fig|391904.5.peg.484
Blon_2358	fig|391904.5.peg.2375
Blon_0026	fig|391904.5.peg.23
Blon_2075	fig|391904.5.peg.2094
Blon_0270	fig|391904.5.peg.268
Blon_1004	fig|391904.5.peg.1006
Blon_0930	fig|391904.5.peg.934
Blon_0760	fig|391904.5.peg.756
Blon_2423	fig|391904.5.peg.2437
Blon_1932	fig|391904.5.peg.1944
Blon_0613	fig|391904.5.peg.597
Blon_2215	fig|391904.5.peg.2224
Blon_0265	fig|391904.5.peg.262
Blon_0643	fig|391904.5.peg.629
Blon_1931	fig|391904.5.peg.606
Blon_2009	fig|391904.5.peg.2023
Blon_1752	fig|391904.5.peg.1756
Blon_0426	fig|391904.5.peg.428
Blon_1145	fig|391904.5.peg.1141
Blon_1489	fig|391904.5.peg.1506
Blon_0182	fig|391904.5.peg.184
Blon_2364	fig|391904.5.peg.2382
Blon_2492	fig|391904.5.peg.2505
Blon_1340	fig|391904.5.peg.1350
Blon_0187	fig|391904.5.peg.189
Blon_1119	fig|391904.5.peg.1115
Blon_0044	fig|391904.5.peg.42
Blon_1400	-
Blon_1354	fig|391904.5.peg.1365
Blon_0038	-
Blon_0943	fig|391904.5.peg.947
Blon_1650	fig|391904.5.peg.1663
Blon_0887	fig|391904.5.peg.890
Blon_1830	fig|391904.5.peg.1836
Blon_0983	fig|391904.5.peg.989
Blon_0479	fig|391904.5.peg.477
Blon_1508	fig|391904.5.peg.1523
Blon_0280	fig|391904.5.peg.281
Blon_2485	fig|391904.5.peg.2498
Blon_0153	-
Blon_0412	fig|391904.5.peg.413
Blon_1064	fig|391904.5.peg.1059
Blon_2188	fig|391904.5.peg.2197
Blon_1678	-
Blon_1839	fig|391904.5.peg.1845
Blon_0122	fig|391904.5.peg.123
Blon_1548	fig|391904.5.peg.1563
Blon_0525	-
Blon_0378	fig|391904.5.peg.380
Blon_0158	fig|391904.5.peg.160
Blon_0354	fig|391904.5.peg.354
Blon_1451	fig|391904.5.peg.1465
Blon_1091	fig|391904.5.peg.1086
Blon_0094	fig|391904.5.peg.93
Blon_0531	fig|391904.5.peg.517
Blon_1065	fig|391904.5.peg.1060
Blon_0628	fig|391904.5.peg.613
Blon_1507	fig|391904.5.peg.1522
Blon_0639	fig|391904.5.peg.625
Blon_1012	fig|391904.5.peg.1014
Blon_0793	fig|391904.5.peg.791
Blon_1826	fig|391904.5.peg.1832
Blon_0609	fig|391904.5.peg.593
Blon_2335	fig|391904.5.peg.2349
Blon_1822	fig|391904.5.peg.1827
Blon_0324	fig|391904.5.peg.323
Blon_1798	fig|391904.5.peg.1801
Blon_1146	fig|391904.5.peg.1142
Blon_1456	fig|391904.5.peg.1470
Blon_0796	fig|391904.5.peg.794
Blon_0045	fig|391904.5.peg.43
Blon_1252	fig|391904.5.peg.1261
Blon_0883	fig|391904.5.peg.886
Blon_0729	fig|391904.5.peg.722
Blon_2269	fig|391904.5.peg.2279
Blon_1149	fig|391904.5.peg.1145
Blon_1201	fig|391904.5.peg.1203
Blon_1256	fig|391904.5.peg.1265
Blon_1333	fig|391904.5.peg.1342
Blon_0260	fig|391904.5.peg.257
Blon_0747	fig|391904.5.peg.740
Blon_0394	fig|391904.5.peg.396
Blon_0351	fig|391904.5.peg.351
Blon_1774	fig|391904.5.peg.1778
Blon_0485	-
Blon_1197	fig|391904.5.peg.1197
Blon_2000	fig|391904.5.peg.2014
Blon_2253	fig|391904.5.peg.2262
Blon_2418	fig|391904.5.peg.2432
Blon_1144	-
Blon_1980	fig|391904.5.peg.1993
Blon_1302	fig|391904.5.peg.1312
Blon_2496	fig|391904.5.peg.2509
Blon_0945	fig|391904.5.peg.949
Blon_0481	fig|391904.5.peg.479
Blon_0454	fig|391904.5.peg.455
Blon_2160	fig|391904.5.peg.2170
Blon_1397	fig|391904.5.peg.1409
Blon_0442	fig|391904.5.peg.444
Blon_2265	fig|391904.5.peg.2275
Blon_0882	fig|391904.5.peg.885
Blon_2498	fig|391904.5.peg.2511
Blon_0332	fig|391904.5.peg.331
Blon_1029	fig|391904.5.peg.1026
Blon_0728	fig|391904.5.peg.721
Blon_2161	fig|391904.5.peg.2171
Blon_2384	fig|391904.5.peg.2399
Blon_1509	fig|391904.5.peg.1525
Blon_1594	fig|391904.5.peg.1608
Blon_1217	fig|391904.5.peg.1220
Blon_0715	fig|391904.5.peg.708
Blon_0821	fig|391904.5.peg.820
Blon_1899	fig|391904.5.peg.1904
Blon_2398	fig|391904.5.peg.2413
Blon_0947	fig|391904.5.peg.951
Blon_1505	fig|391904.5.peg.1521
Blon_0869	fig|391904.5.peg.871
Blon_1780	fig|391904.5.peg.1784
Blon_1510	fig|391904.5.peg.1526
Blon_1805	fig|391904.5.peg.1807
Blon_1373	fig|391904.5.peg.1384
Blon_1166	fig|391904.5.peg.1162
Blon_0850	fig|391904.5.peg.851
Blon_1298	fig|391904.5.peg.1307
Blon_0410	fig|391904.5.peg.411
Blon_0345	fig|391904.5.peg.344
Blon_0899	fig|391904.5.peg.902
Blon_0120	fig|391904.5.peg.121
Blon_0415	fig|391904.5.peg.416
Blon_1981	fig|391904.5.peg.1994
Blon_1002	-
Blon_1062	fig|391904.5.peg.1057
Blon_0914	fig|391904.5.peg.918
Blon_0900	fig|391904.5.peg.903
Blon_1278	fig|391904.5.peg.1290
Blon_2103	-
Blon_1552	fig|391904.5.peg.1567
Blon_1102	fig|391904.5.peg.1098
Blon_0113	fig|391904.5.peg.114
Blon_0985	fig|391904.5.peg.991
Blon_2389	fig|391904.5.peg.2404
Blon_2229	fig|391904.5.peg.2238
Blon_0434	fig|391904.5.peg.437
Blon_1528	fig|391904.5.peg.1543
Blon_0965	fig|391904.5.peg.969
Blon_0019	fig|391904.5.peg.15
Blon_0638	fig|391904.5.peg.624
Blon_0056	fig|391904.5.peg.54
Blon_0139	fig|391904.5.peg.141
